"Toimitetut ajokortit koontiluokittain vuosina 2014-2020"

"Alue";"Sukupuoli";"Ikäluokka";"Ajokortin tyyppi";"Ajokorttiluokka";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain moottoripyöräkortti (A1, A2 tai A)";171;177;221;223;164;152;3
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää moottoripyörän ajo-oikeuden (A1, A2 tai A)";11713;12471;18497;13453;14887;13895;3407
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain henkilö- ja pakettiautokortti (B)";14793;15616;21666;11743;11435;11331;2397
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää henkilö- ja pakettiauton ajo-oikeuden (B)";27705;29360;42272;26744;28278;27161;6329
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää BE-luokan yhdistelmän ajo-oikeuden (BE tai B96)";5249;5635;9112;6299;7170;6765;1774
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää kuorma-auton ajo-oikeuden (C1 tai C)";2732;2594;5025;3287;3894;3725;877
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Kuorma-auton ja perävaunun yhdistelmä (C1E tai CE)";697;694;1075;874;1099;1122;268
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää linja-auton ajo-oikeuden (D1 tai D)";366;335;520;549;721;693;185
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Linja-auton ja perävaunun yhdistelmä (D1E tai DE)";107;109;192;144;186;222;56
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Mopokortit (AM120)";506;559;455;422;385;357;18
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Keveiden nelipyörien kortit (AM121)";14;24;20;24;20;16;5
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Ajokortti sekä mopoille että keveille nelipyörille (AM120 ja AM121)";30;18;28;26;30;33;6
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Traktorikortit (T)";108;111;91;90;81;74;14
"Helsinki";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Liikennetraktorikortit (LT)";1;1;0;8;11;0;0
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain moottoripyöräkortti (A1, A2 tai A)";126;118;131;125;128;90;1
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää moottoripyörän ajo-oikeuden (A1, A2 tai A)";3022;3136;4270;3305;3679;3622;813
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain henkilö- ja pakettiautokortti (B)";3415;3361;4055;2090;1992;1958;435
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää henkilö- ja pakettiauton ajo-oikeuden (B)";6879;6931;8862;5775;6156;6089;1407
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää BE-luokan yhdistelmän ajo-oikeuden (BE tai B96)";1837;1922;2643;2057;2344;2362;556
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää kuorma-auton ajo-oikeuden (C1 tai C)";1162;967;1429;979;1237;1280;272
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Kuorma-auton ja perävaunun yhdistelmä (C1E tai CE)";428;346;456;369;548;593;96
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää linja-auton ajo-oikeuden (D1 tai D)";97;87;103;88;117;113;29
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Linja-auton ja perävaunun yhdistelmä (D1E tai DE)";60;38;58;46;64;64;12
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Mopokortit (AM120)";485;579;510;484;471;396;11
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Keveiden nelipyörien kortit (AM121)";9;12;33;20;21;11;1
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Ajokortti sekä mopoille että keveille nelipyörille (AM120 ja AM121)";13;6;12;12;12;9;3
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Traktorikortit (T)";106;141;121;114;109;81;12
"Kuopio";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Liikennetraktorikortit (LT)";1;1;11;21;6;0;0
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain moottoripyöräkortti (A1, A2 tai A)";106;136;116;113;110;112;0
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää moottoripyörän ajo-oikeuden (A1, A2 tai A)";4225;4382;6790;4973;5501;5473;1245
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain henkilö- ja pakettiautokortti (B)";6052;6008;8099;3863;3788;3892;819
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää henkilö- ja pakettiauton ajo-oikeuden (B)";11035;11066;15959;9486;10270;10393;2327
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää BE-luokan yhdistelmän ajo-oikeuden (BE tai B96)";2622;2625;4343;3090;3632;3594;819
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää kuorma-auton ajo-oikeuden (C1 tai C)";1620;1474;2394;1512;2012;2157;446
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Kuorma-auton ja perävaunun yhdistelmä (C1E tai CE)";577;488;715;562;798;917;161
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää linja-auton ajo-oikeuden (D1 tai D)";110;126;167;133;198;201;43
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Linja-auton ja perävaunun yhdistelmä (D1E tai DE)";68;68;97;75;103;116;19
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Mopokortit (AM120)";795;795;716;719;694;650;21
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Keveiden nelipyörien kortit (AM121)";18;21;16;23;10;50;6
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Ajokortti sekä mopoille että keveille nelipyörille (AM120 ja AM121)";21;24;20;20;17;21;2
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Traktorikortit (T)";255;257;283;309;273;251;47
"Oulu";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Liikennetraktorikortit (LT)";2;0;5;26;21;0;0
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain moottoripyöräkortti (A1, A2 tai A)";152;138;135;133;119;121;1
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää moottoripyörän ajo-oikeuden (A1, A2 tai A)";5123;5430;7606;5807;6416;6220;1492
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain henkilö- ja pakettiautokortti (B)";6257;6362;8139;4147;4075;3958;866
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää henkilö- ja pakettiauton ajo-oikeuden (B)";12172;12545;16799;10598;11451;11204;2608
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää BE-luokan yhdistelmän ajo-oikeuden (BE tai B96)";2979;3061;4380;3213;3707;3656;907
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää kuorma-auton ajo-oikeuden (C1 tai C)";1844;1639;2536;1653;2271;2197;474
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Kuorma-auton ja perävaunun yhdistelmä (C1E tai CE)";601;580;728;628;818;882;186
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää linja-auton ajo-oikeuden (D1 tai D)";223;212;202;227;385;363;89
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Linja-auton ja perävaunun yhdistelmä (D1E tai DE)";94;85;78;102;143;162;19
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Mopokortit (AM120)";442;439;398;394;344;298;11
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Keveiden nelipyörien kortit (AM121)";126;126;137;126;96;84;24
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Ajokortti sekä mopoille että keveille nelipyörille (AM120 ja AM121)";49;39;37;48;24;29;4
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Traktorikortit (T)";79;78;80;100;88;55;14
"Tampere";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Liikennetraktorikortit (LT)";4;0;2;5;5;0;0
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain moottoripyöräkortti (A1, A2 tai A)";70;64;86;87;72;60;4
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää moottoripyörän ajo-oikeuden (A1, A2 tai A)";4785;4833;6422;5113;5451;5406;1379
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Vain henkilö- ja pakettiautokortti (B)";5363;5593;7030;3534;3337;3485;723
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää henkilö- ja pakettiauton ajo-oikeuden (B)";10770;10977;14212;9228;9591;9698;2296
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää BE-luokan yhdistelmän ajo-oikeuden (BE tai B96)";2484;2518;3550;2662;3023;3033;775
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää kuorma-auton ajo-oikeuden (C1 tai C)";1547;1278;1949;1352;1644;1695;372
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Kuorma-auton ja perävaunun yhdistelmä (C1E tai CE)";526;439;494;489;628;687;163
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Sisältää linja-auton ajo-oikeuden (D1 tai D)";210;174;272;260;319;289;79
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Linja-auton ja perävaunun yhdistelmä (D1E tai DE)";93;78;102;98;112;121;31
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Mopokortit (AM120)";334;329;296;297;260;284;24
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Keveiden nelipyörien kortit (AM121)";66;85;79;69;72;66;14
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Ajokortti sekä mopoille että keveille nelipyörille (AM120 ja AM121)";24;27;20;21;24;27;9
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Traktorikortit (T)";37;41;37;38;32;48;18
"Turku";"Sukupuolet yhteensä";"Ikäluokat yhteensä";"Ajokorttityypit yhteensä";"Liikennetraktorikortit (LT)";0;0;3;3;6;0;0
